mean_amount,median_amount,mean_POS_amount,median_POS_amount,mean_WD_ATM_ROS_amount,median_WD_ATM_ROS_amount,mean_DEPOSIT_amount,median_DEPOSIT_amount,mean_WD_ATM_PARTNER_amount,median_WD_ATM_PARTNER_amount,mean_WD_ATM_OTHER_amount,median_WD_ATM_OTHER_amount,mean_C2C_IN_amount,median_C2C_IN_amount,mean_C2C_OUT_amount,median_C2C_OUT_amount,mean_BACK_TRX_amount,median_BACK_TRX_amount,mean_CAT_amount,median_CAT_amount,mean_POS,mean_WD_ATM_ROS,mean_DEPOSIT,mean_WD_ATM_PARTNER,mean_WD_ATM_OTHER,mean_C2C_IN,mean_C2C_OUT,mean_BACK_TRX,mean_CAT,min_month,max_month,min_dayofyear,max_dayofyear,churn
1321.7213976748767,471.1716914270413,1157.3265885067408,426.05188345210536,38.36066764908761,0.0,97.03373550961732,0.0,0.0,0.0,0.0,0.0,29.00040600943118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.007142857142857143,0.007142857142857143,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,5,8,122,215,0
19994.468904483656,19478.283557748982,9950.396462694634,0.0,0.0,0.0,9784.74448761617,0.0,0.0,0.0,0.0,0.0,259.3279541728505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.4,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,7,9,192,273,0
4872.356642890373,1404.729578310132,4872.356642890373,1404.729578310132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,113,203,1
2547.4323552251944,784.7853165158709,700.9960559914509,406.7008042887247,46.07221770713818,0.0,0.0,0.0,1694.1477812359417,0.0,106.21630029066337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635467980295566,0.019704433497536946,0.0,0.1625615763546798,0.054187192118226604,0.0,0.0,0.0,0.0,1,12,1,366,1
13365.902223107198,11385.575913999415,4091.40819854432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9274.494024562879,318.8029573007778,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,2,4,37,116,0
25576.259217854084,22222.374462601747,14856.0496559774,0.0,0.0,0.0,5538.499481448436,0.0,0.0,0.0,0.0,0.0,4185.658752924021,0.0,996.0513275042279,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,5,8,143,226,0
9171.933164886335,2744.9231264373257,6559.0775464779435,112.00872113296015,431.4486434801237,0.0,2170.7116498635687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.695325064699265,0.0,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.1,7,8,182,238,0
8155.703297339072,430.1956143102924,1184.2585263977926,338.00520542741054,0.0,0.0,6494.04448398111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.4002869601701,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,4,6,94,175,1
1924.6218655208622,912.4964514940892,1125.7640780874415,505.3553933405976,0.0,0.0,720.8606790767541,0.0,0.0,0.0,0.0,0.0,52.072703094254905,0.0,25.924405262411817,0.0,0.0,0.0,0.0,0.0,0.8648648648648649,0.0,0.11351351351351352,0.0,0.0,0.016216216216216217,0.005405405405405406,0.0,0.0,1,12,1,366,0
1348.3735297113294,451.5997403680349,506.55071050136246,255.36991919136923,727.5315513152187,0.0,0.0,0.0,19.873868832519758,0.0,94.4173990622284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172413793103448,0.13448275862068965,0.0,0.010344827586206896,0.03793103448275862,0.0,0.0,0.0,0.0,7,10,193,285,1
8076.112736927392,1172.5391515172032,1244.6762722157887,299.4091712890593,2714.5476935221186,0.0,0.0,0.0,4051.7097000656395,0.0,65.17907112384482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719626168224299,0.08411214953271028,0.0,0.17757009345794392,0.018691588785046728,0.0,0.0,0.0,0.0,4,7,103,194,1
3673.078384590154,957.8262852211512,2302.6181032403533,491.8016848620415,0.0,0.0,1370.4602813498007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8767123287671232,0.0,0.1232876712328767,0.0,0.0,0.0,0.0,0.0,0.0,1,12,5,364,0
